Schluessel,Straftat,Gemeindeschluessel,Stadt,Faelle,HZ,Versuche,Versuche_Prozent,Schusswaffe_gedroht,Schusswaffe_geschossen,aufgeklaert,Aufklaerungsquote,Tatverdaechtige,Tatverdaechtige_maennlich,Tatverdaechtige_weiblich,Nichtdeutsche,Nichtdeutsche_Prozent,Jahr
111000,"Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB",5114000,Krefeld,54,24,5,9.3,0,0,41,75.9,42,42,0,19,45.2,2021
111000,"Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB",14713000,Leipzig,35,6,0,0.0,0,0,31,88.6,35,34,1,15,42.9,2021
111000,"Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB",5316000,Leverkusen,24,15,0,0.0,0,0,20,83.3,19,19,0,7,36.8,2021
111000,"Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB",1003000,Lübeck,37,17,5,13.5,0,0,31,83.8,32,32,0,8,25.0,2021
111000,"Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB",7314000,Ludwigshafen am Rhein,34,20,4,11.8,0,0,31,91.2,33,32,1,18,54.5,2021
111000,"Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB",15003000,Magdeburg,38,16,2,5.3,0,0,36,94.7,35,35,0,10,28.6,2021
111000,"Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB",7315000,Mainz,35,16,2,5.7,0,0,29,82.9,28,28,0,10,35.7,2021
111000,"Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB",8222000,Mannheim,40,13,3,7.5,0,0,30,75.0,29,28,1,14,48.3,2021
111000,"Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB",5170024,Moers,17,16,0,0.0,0,0,12,70.6,12,12,0,4,33.3,2021
111000,"Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB",5116000,Mönchengladbach,42,16,4,9.5,0,0,38,90.5,39,39,0,16,41.0,2021
111000,"Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB",5117000,Mülheim an der Ruhr,29,17,3,10.3,1,0,24,82.8,25,25,0,10,40.0,2021
111000,"Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB",9162000,München,205,14,27,13.2,0,0,177,86.3,185,184,1,110,59.5,2021
111000,"Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB",5515000,Münster,41,13,3,7.3,0,0,33,80.5,33,33,0,12,36.4,2021
111000,"Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB",5162024,Neuss,22,14,2,9.1,0,0,18,81.8,17,17,0,6,35.3,2021
