Schluessel,Straftat,Gemeindeschluessel,Stadt,Sexus,gesamt,Alter_unter_6,Alter_6_bis_8,Alter_8_bis_10,Alter_10_bis_12,Alter_12_bis_14,Kinder_gesamt,Alter_14_bis_16,Alter_16_bis_18,Jugendliche_gesamt,Alter_18_bis_21,unter_21_gesamt,Alter_21_bis_23,Alter_23_bis_25,Alter_21_bis_25,Alter_25_bis_30,Alter_30_bis_40,Alter_40_bis_50,Alter_50_bis_60,Alter_ueber_60,Erwachsene_gesamt,Jahr
------,Straftaten insgesamt,8222000,Mannheim,W,"3,288",5,4,6,10,54,79,152,197,349,347,775,213,201,414,480,630,456,324,209,"2,513",2016
------,Straftaten insgesamt,5170024,Moers,W,659,0,0,2,9,20,31,40,40,80,56,167,27,37,64,73,128,94,87,46,492,2016
------,Straftaten insgesamt,5116000,Moenchengladbach,W,"2,133",0,0,5,18,39,62,121,120,241,214,517,127,122,249,298,402,333,191,143,"1,616",2016
------,Straftaten insgesamt,5117000,Muelheim an der Ruhr,W,"1,385",0,0,3,10,23,36,57,62,119,115,270,83,99,182,186,254,216,163,114,"1,115",2016
------,Straftaten insgesamt,9162000,Muenchen,W,"14,106",7,7,13,40,112,179,439,718,"1,157","1,547","2,883","1,021",975,"1,996","2,069","2,959","1,915","1,250","1,034","11,223",2016
------,Straftaten insgesamt,5515000,Muenster,W,"2,155",1,2,7,25,65,100,161,130,291,193,584,116,119,235,260,410,280,220,166,"1,571",2016
------,Straftaten insgesamt,5162024,Neuss,W,"1,356",0,0,4,12,24,40,65,83,148,143,331,87,88,175,175,275,183,122,95,"1,025",2016
------,Straftaten insgesamt,9564000,Nuernberg,W,"5,039",1,3,23,27,98,152,222,245,467,499,"1,118",343,305,648,726,"1,015",702,425,405,"3,921",2016
------,Straftaten insgesamt,5119000,Oberhausen,W,"1,898",0,0,5,13,47,65,99,129,228,181,474,123,125,248,251,388,251,166,120,"1,424",2016
------,Straftaten insgesamt,6413000,Offenbach am Main,W,"1,300",0,0,1,3,20,24,53,70,123,148,295,79,92,171,219,277,172,89,77,"1,005",2016
------,Straftaten insgesamt,3403000,Oldenburg (Oldenburg),W,"1,358",3,0,2,9,44,58,88,83,171,131,360,76,80,156,165,266,160,151,100,998,2016
------,Straftaten insgesamt,3404000,Osnabrueck,W,"1,564",0,3,4,7,31,45,74,92,166,122,333,90,98,188,208,330,244,146,115,"1,231",2016
------,Straftaten insgesamt,5774032,Paderborn,W,"1,385",2,2,0,3,20,27,87,114,201,159,387,105,86,191,168,283,158,125,73,998,2016
------,Straftaten insgesamt,8231000,Pforzheim,W,"1,043",0,2,4,14,24,44,48,51,99,76,219,51,59,110,124,208,161,126,95,824,2016
------,Straftaten insgesamt,12054000,Potsdam,W,"1,313",0,2,1,9,24,36,68,54,122,83,241,48,63,111,193,326,166,118,158,"1,072",2016
------,Straftaten insgesamt,5562032,Recklinghausen,W,"1,113",0,0,0,5,24,29,66,71,137,78,244,61,57,118,150,207,196,124,74,869,2016
------,Straftaten insgesamt,9362000,Regensburg,W,"2,664",0,2,1,6,19,28,148,126,274,306,608,172,164,336,432,630,346,173,139,"2,056",2016
------,Straftaten insgesamt,5120000,Remscheid,W,739,0,1,1,10,22,34,47,41,88,63,185,29,29,58,110,135,118,76,57,554,2016
------,Straftaten insgesamt,8415061,Reutlingen,W,745,1,1,2,2,13,19,49,43,92,67,178,39,38,77,100,146,116,80,48,567,2016
------,Straftaten insgesamt,13003000,Rostock,W,"2,032",16,3,13,14,39,85,85,101,186,177,448,117,126,243,337,407,247,172,178,"1,584",2016
------,Straftaten insgesamt,10041100,Saarbruecken,W,"2,768",9,11,22,34,76,152,159,201,360,251,763,173,124,297,407,524,369,251,157,"2,005",2016
------,Straftaten insgesamt,3102000,Salzgitter,W,818,0,0,4,8,16,28,30,44,74,67,169,53,40,93,86,173,112,95,90,649,2016
------,Straftaten insgesamt,13004000,Schwerin,W,"1,174",0,4,5,13,29,51,62,71,133,121,305,71,68,139,163,254,104,116,93,869,2016
------,Straftaten insgesamt,5970040,Siegen,W,953,1,1,3,7,29,41,49,70,119,97,257,56,68,124,126,183,118,88,57,696,2016
